SourceLabware,SourceSlot,TargetLabware,TargetSlot,TransAmt,MixAmt,TipID,Comment
labware_11,A1,labware_4,"D9, D10, D11, D12, E1, E12, F1, F2",200,0,66,Filling outer wells with WATER
labware_11,A1,labware_4,"F3, F4, F5, F6, F7, F8, F9, F10",200,0,67,Filling outer wells with WATER
labware_11,A1,labware_4,"F11, F12, G1, G12, H1, H2, H3, H4",200,0,68,Filling outer wells with WATER
labware_11,A1,labware_4,"H5, H6, H7, H8, H9, H10, H11, H12",200,0,69,Filling outer wells with WATER
labware_11,A1,labware_5,"A1, A2, A3, A4, A5, A6, A7, A8",200,0,70,Filling outer wells with WATER
labware_11,A1,labware_5,"A9, A10, A11, A12, B1, B12, C1, C12",200,0,71,Filling outer wells with WATER
labware_11,A1,labware_5,"D1, D2, D3, D4, D5, D6, D7, D8",200,0,72,Filling outer wells with WATER
labware_11,A1,labware_5,"D9, D10, D11, D12, E1, E12, F1, F2",200,0,73,Filling outer wells with WATER
labware_11,A1,labware_5,"F3, F4, F5, F6, F7, F8, F9, F10",200,0,74,Filling outer wells with WATER
labware_11,A1,labware_5,"F11, F12, G1, G12, H1, H2, H3, H4",200,0,75,Filling outer wells with WATER
labware_11,A1,labware_5,"H5, H6, H7, H8, H9, H10, H11, H12",200,0,76,Filling outer wells with WATER
labware_11,A1,labware_6,"A1, A2, A3, A4, A5, A6, A7, A8",200,0,77,Filling outer wells with WATER
labware_11,A1,labware_6,"A9, A10, A11, A12, B1, B12, C1, C12",200,0,78,Filling outer wells with WATER
labware_11,A1,labware_6,"D1, D2, D3, D4, D5, D6, D7, D8",200,0,79,Filling outer wells with WATER
labware_11,A1,labware_6,"D9, D10, D11, D12, E1, E12, F1, F2",200,0,80,Filling outer wells with WATER
labware_11,A1,labware_6,"F3, F4, F5, F6, F7, F8, F9, F10",200,0,81,Filling outer wells with WATER
labware_11,A1,labware_6,"F11, F12, G1, G12, H1, H2, H3, H4",200,0,82,Filling outer wells with WATER
labware_11,A1,labware_6,"H5, H6, H7, H8, H9, H10, H11, H12",200,0,83,Filling outer wells with WATER
labware_11,A2,labware_4,"B5, B6, B7, B8, B9, B10, B11",200,0,84,Filling outer wells with WATER
labware_11,A2,labware_5,"B5, B6, B7, B8, B9, B10, B11",200,0,85,Filling outer wells with WATER
labware_11,A2,labware_6,"B5, B6, B7, B8, B9, B10, B11",200,0,86,Filling outer wells with WATER
>PlateMap
labware_1,(empty),,,,,,
labware_2,(empty),,,,,,
labware_3,(empty),,,,,,
labware_4,96-well_A,,,,,,
labware_5,96-well_B,,,,,,
labware_6,96-well_C,,,,,,
labware_7,tip,,,,,,
labware_8,15_Falcon_main,,,,,,
labware_9,15_Falcon_spare,,,,,,
labware_10,15ml_Falcon_stock,,,,,,
labware_11,Solvent,,,,,,
labware_12,TRASH,,,,,,
