"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment","pipette"
"labware_1","B3","labware_2","A2","75","0","71","Dilution","P300"
"labware_1","B3","labware_2","A3","75","0","72","Dilution","P300"
"labware_1","B3","labware_2","B1","75","0","73","Dilution","P300"
"labware_1","B4","labware_2","A1","37.5","0","74","Dilution","P300"
"labware_1","B4","labware_2","A2","37.5","0","75","Dilution","P300"
"labware_1","B4","labware_2","A3","37.5","0","76","Dilution","P300"
"labware_1","B4","labware_2","B1","37.5","0","77","Dilution","P300"
"labware_1","B5","labware_2","A1","75","0","78","Dilution","P300"
"labware_1","B5","labware_2","A2","75","0","79","Dilution","P300"
"labware_1","B5","labware_2","A3","75","0","80","Dilution","P300"
"labware_1","B5","labware_2","B1","75","0","81","Dilution","P300"
"labware_1","B6","labware_2","A1","37.5","0","82","Dilution","P300"
"labware_1","B6","labware_2","A2","37.5","0","83","Dilution","P300"
"labware_1","B6","labware_2","A3","37.5","0","84","Dilution","P300"
"labware_1","B6","labware_2","B1","37.5","0","85","Dilution","P300"
"labware_3","A2","labware_2","A1","9375","0","86","Dilution","P1000"
"labware_3","A2","labware_2","A2","9375","0","87","Dilution","P1000"
"labware_3","A2","labware_2","A3","9375","0","88","Dilution","P1000"
"labware_3","A2","labware_2","B1","9375","0","89","Dilution","P1000"
"labware_5","B5","labware_2","A1","750","0","90","Dilution","P1000"
"labware_5","B5","labware_2","A2","750","0","91","Dilution","P1000"
"labware_5","B5","labware_2","A3","750","0","92","Dilution","P1000"
"labware_5","B5","labware_2","B1","750","0","93","Dilution","P1000"
"labware_5","C1","labware_2","A1","75","0","94","Dilution","P300"
"labware_5","C1","labware_2","A2","75","0","95","Dilution","P300"
"labware_5","C1","labware_2","B1","75","0","96","Dilution","P300"
"labware_1","C1","labware_2","A1","75","0","97","Dilution","P300"
"labware_1","C1","labware_2","A2","75","0","98","Dilution","P300"
"labware_1","C1","labware_2","A3","75","0","99","Dilution","P300"
">PlateMap","","","","","","","",""
"labware_1","1.5Eppendorf_A","","","","","","",""
"labware_2","50Falcon_Main","","","","","","",""
"labware_3","50Falcon_A","","","","","","",""
"labware_4","tip300","","","","","","",""
"labware_5","15Falcon_A","","","","","","",""
"labware_6","15Falcon_B","","","","","","",""
"labware_7","tip300_spare","","","","","","",""
"labware_8","SOLVENT","","","","","","",""
"labware_9","tip_1000","","","","","","",""
"labware_10","empty","","","","","","",""
"labware_11","empty","","","","","","",""
"labware_12","TRASH","","","","","","",""
