"SourceLabware","SourceSlot","TargetLabware","TargetSlot","TransAmt","MixAmt","TipID","Comment"
"labware_1","B6","labware_2","A3","37.5","0","80","Dilution"
"labware_1","B6","labware_2","B1","37.5","0","81","Dilution"
"labware_1","C1","labware_2","A1","75","0","82","Dilution"
"labware_1","C1","labware_2","A2","75","0","83","Dilution"
"labware_1","C1","labware_2","A3","75","0","84","Dilution"
"labware_1","C1","labware_2","B1","75","0","85","Dilution"
"labware_1","C2","labware_2","A1","37.5","0","86","Dilution"
"labware_1","C2","labware_2","A2","37.5","0","87","Dilution"
"labware_1","C2","labware_2","A3","37.5","0","88","Dilution"
"labware_1","C2","labware_2","B1","37.5","0","89","Dilution"
"labware_3","A2","labware_2","A1","9375","0","90","Dilution"
"labware_3","A2","labware_2","A2","9375","0","91","Dilution"
"labware_3","A2","labware_2","A3","9375","0","92","Dilution"
"labware_3","A2","labware_2","B1","9375","0","93","Dilution"
"labware_5","B3","labware_2","A1","750","0","94","Dilution"
"labware_5","B3","labware_2","A2","750","0","95","Dilution"
"labware_5","B3","labware_2","A3","750","0","96","Dilution"
"labware_5","B3","labware_2","B1","750","0","97","Dilution"
"labware_1","C3","labware_2","A1","150","0","98","Dilution"
"labware_1","C3","labware_2","A2","150","0","99","Dilution"
"labware_1","C4","labware_2","A1","75","0","100","Dilution"
"labware_1","C4","labware_2","A2","75","0","101","Dilution"
"labware_1","C4","labware_2","A3","75","0","102","Dilution"
"labware_1","C4","labware_2","B1","75","0","103","Dilution"
"labware_1","C5","labware_2","A1","75","0","104","Dilution"
"labware_1","C5","labware_2","A2","75","0","105","Dilution"
"labware_1","C5","labware_2","A3","75","0","106","Dilution"
"labware_1","C5","labware_2","B1","75","0","107","Dilution"
">PlateMap","","","","","","",""
"labware_1","1.5Eppendorf_A","","","","","",""
"labware_2","50Falcon_Main","","","","","",""
"labware_3","50Falcon_A","","","","","",""
"labware_4","tip","","","","","",""
"labware_5","15Falcon_A","","","","","",""
"labware_6","15Falcon_B","","","","","",""
"labware_7","tip","","","","","",""
"labware_8","SOLVENT","","","","","",""
"labware_9","empty","","","","","",""
"labware_10","empty","","","","","",""
"labware_11","empty","","","","","",""
"labware_12","TRASH","","","","","",""
